1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Esteban Saveljich,me MNE,DF,Rayo Vallecano,es La Liga,30-299,1991,21,21,1700,18.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.04,0.01,0.06,0.04,0.06,Matches
Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,31-066,1991,19,19,1630,18.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,1.4,0.07,0.00,0.08,0.07,0.08,Matches
Joseph Scally,us USA,DF,M'Gladbach,de Bundesliga,19-074,2002,23,19,1717,19.1,1,2,1,0,0,4,0,0.05,0.10,0.16,0.05,0.16,1.2,1.2,1.3,2.5,0.06,0.07,0.13,0.06,0.13,Matches
Giorgio Scalvini,it ITA,"DF,MF",Atalanta,it Serie A,18-094,2003,9,2,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.05,0.04,0.10,0.05,0.10,Matches
Gianluca Scamacca,it ITA,FW,Sassuolo,it Serie A,23-073,1999,27,17,1499,16.7,12,0,11,1,1,6,0,0.72,0.00,0.72,0.66,0.66,8.4,7.7,1.5,9.1,0.51,0.09,0.59,0.46,0.55,Matches
Dane Scarlett,eng ENG,MF,Tottenham,eng Premier League,17-356,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Schade,de GER,"FW,MF",Freiburg,de Bundesliga,20-108,2001,21,7,831,9.2,4,1,4,0,0,2,0,0.43,0.11,0.54,0.43,0.54,2.3,2.2,0.7,2.8,0.25,0.07,0.32,0.23,0.31,Matches
András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,22-336,1999,2,0,38,0.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.19,0.00,0.19,0.19,0.19,Matches
Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,30-085,1991,18,18,1600,17.8,1,2,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,1.0,1.0,0.4,1.5,0.06,0.02,0.08,0.06,0.08,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Louis Schaub,at AUT,MF,Köln,de Bundesliga,27-076,1994,21,5,487,5.4,1,2,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,0.8,0.8,1.3,2.1,0.14,0.25,0.39,0.14,0.39,Matches
Andrea Schiavone,it ITA,MF,Salernitana,it Serie A,29-020,1993,14,5,571,6.3,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.6,0.8,0.04,0.09,0.13,0.04,0.13,Matches
Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,26-050,1996,20,20,1552,17.2,20,1,19,1,2,0,0,1.16,0.06,1.22,1.10,1.16,14.1,12.5,0.7,13.2,0.82,0.04,0.85,0.73,0.77,Matches
Kingsley Schindler,de GER,"DF,MF",Köln,de Bundesliga,28-246,1993,15,1,311,3.5,1,2,1,0,0,1,0,0.29,0.58,0.87,0.29,0.87,0.5,0.5,1.0,1.6,0.16,0.30,0.46,0.16,0.46,Matches
Xaver Schlager,at AUT,MF,Wolfsburg,de Bundesliga,24-168,1997,6,5,409,4.5,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.1,0.1,0.1,0.3,0.03,0.03,0.06,0.03,0.06,Matches
Keven Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,24-321,1997,10,3,279,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
Nico Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,22-104,1999,24,24,2065,22.9,4,0,4,0,0,4,0,0.17,0.00,0.17,0.17,0.17,2.8,2.8,1.0,3.8,0.12,0.04,0.17,0.12,0.17,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,eng Premier League,29-082,1992,23,14,1292,14.4,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,1.9,1.9,1.1,3.0,0.13,0.07,0.21,0.13,0.21,Matches
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,35-130,1986,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Schmid,fr FRA,DF,Freiburg,de Bundesliga,31-262,1990,5,4,327,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches
Benno Schmitz,de GER,DF,Köln,de Bundesliga,27-118,1994,25,25,2132,23.7,0,4,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,3.5,3.8,0.01,0.15,0.16,0.01,0.16,Matches
David Schnegg,at AUT,DF,Venezia,it Serie A,23-167,1998,4,2,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Morgan Schneiderlin,fr FRA,MF,Nice,fr Ligue 1,32-127,1989,15,4,480,5.3,0,1,0,0,0,1,1,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.2,0.4,0.04,0.04,0.08,0.04,0.08,Matches
Alessandro Schöpf,at AUT,MF,Arminia,de Bundesliga,28-036,1994,24,21,1919,21.3,1,0,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,2.3,2.3,2.1,4.4,0.11,0.10,0.20,0.11,0.20,Matches
Jerdy Schouten,nl NED,MF,Bologna,it Serie A,25-062,1997,8,7,627,7.0,0,1,0,0,0,4,1,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.4,0.4,0.01,0.05,0.06,0.01,0.06,Matches
Nico Schulz,de GER,DF,Dortmund,de Bundesliga,28-348,1993,14,8,723,8.0,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches
Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26-324,1995,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29-286,1992,23,23,2070,23.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Valentino Scotta,es ESP,DF,Sevilla,es La Liga,20-217,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Demba Seck,sn SEN,MF,Torino,it Serie A,21-033,2001,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Sedlar,rs SRB,"DF,MF",Mallorca,es La Liga,30-092,1991,10,3,404,4.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Paul Seguin,de GER,MF,Greuther Fürth,de Bundesliga,26-351,1995,24,23,2030,22.6,0,3,0,0,0,9,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.9,2.3,0.02,0.09,0.10,0.02,0.10,Matches
Alidu Seidu,ci CIV,"DF,FW",Clermont Foot,fr Ligue 1,21-284,2000,13,9,774,8.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.06,0.01,0.08,0.06,0.08,Matches
Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,27-054,1995,19,6,643,7.1,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.6,1.6,0.4,2.0,0.22,0.06,0.28,0.22,0.28,Matches
Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,30-017,1992,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ken Sema,se SWE,"MF,FW",Watford,eng Premier League,28-166,1993,14,4,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
Nélson Semedo,pt POR,DF,Wolves,eng Premier League,28-119,1993,23,23,1989,22.1,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.1,2.4,0.06,0.05,0.11,0.06,0.11,Matches
Stefano Sensi,it ITA,"MF,FW",Sampdoria,it Serie A,26-222,1995,5,5,366,4.1,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.7,0.7,0.5,1.2,0.17,0.13,0.30,0.17,0.30,Matches
Stefano Sensi,it ITA,MF,Inter,it Serie A,26-222,1995,9,1,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.18,0.15,0.33,0.18,0.33,Matches
Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30-311,1991,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Suat Serdar,de GER,"MF,FW",Hertha BSC,de Bundesliga,24-338,1997,22,20,1744,19.4,2,0,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,2.1,2.1,1.0,3.2,0.11,0.05,0.16,0.11,0.16,Matches
Laurens Serpe,it ITA,DF,Genoa,it Serie A,21-036,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Janni Serra,de GER,FW,Arminia,de Bundesliga,24-002,1998,19,10,692,7.7,2,1,2,0,0,0,0,0.26,0.13,0.39,0.26,0.39,1.6,1.6,0.4,2.0,0.21,0.05,0.26,0.21,0.26,Matches
Javier Serrano,es ESP,MF,Atlético Madrid,es La Liga,19-058,2003,4,0,23,0.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás Serrano,es ESP,MF,Athletic Club,es La Liga,19-010,2003,11,3,291,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.4,0.4,0.1,0.5,0.13,0.02,0.15,0.13,0.15,Matches
Zidan Sertdemir,dk DEN,"MF,FW",Leverkusen,de Bundesliga,17-039,2005,3,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.14,0.14,0.00,0.14,Matches
Ryan Sessegnon,eng ENG,"DF,MF",Tottenham,eng Premier League,21-301,2000,9,7,537,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
Nils Seufert,de GER,MF,Greuther Fürth,de Bundesliga,25-040,1997,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Salva Sevilla,es ESP,MF,Mallorca,es La Liga,37-362,1984,19,11,967,10.7,4,2,0,4,4,0,0,0.37,0.19,0.56,0.00,0.19,3.7,0.7,2.1,2.8,0.34,0.20,0.54,0.06,0.26,Matches
Stephan El Shaarawy,it ITA,"DF,FW",Roma,it Serie A,29-139,1992,20,5,774,8.6,2,0,2,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.9,1.9,1.6,3.5,0.22,0.19,0.41,0.22,0.41,Matches
Jamie Shackleton,eng ENG,"DF,MF",Leeds United,eng Premier League,22-158,1999,13,7,686,7.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
Xherdan Shaqiri,ch SUI,"FW,MF",Lyon,fr Ligue 1,30-156,1991,11,9,679,7.5,2,3,2,0,0,0,0,0.27,0.40,0.66,0.27,0.66,0.6,0.6,2.4,3.0,0.08,0.31,0.40,0.08,0.40,Matches
Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,26-246,1995,19,18,1556,17.3,0,3,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.1,3.3,0.01,0.18,0.19,0.01,0.19,Matches
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,30-016,1992,19,17,1533,17.0,2,1,2,0,0,7,1,0.12,0.06,0.18,0.12,0.18,0.8,0.8,0.7,1.5,0.05,0.04,0.09,0.05,0.09,Matches
Aimar Sher,se SWE,MF,Spezia,it Serie A,19-085,2002,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Eldor Shomurodov,uz UZB,FW,Roma,it Serie A,26-259,1995,21,4,617,6.9,2,3,2,0,0,1,0,0.29,0.44,0.73,0.29,0.73,2.9,2.9,1.5,4.3,0.42,0.21,0.63,0.42,0.63,Matches
Mahame Siby,ml MLI,"MF,DF",Strasbourg,fr Ligue 1,25-251,1996,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aboubakar Sidibé,fr FRA,FW,Clermont Foot,fr Ligue 1,25-316,1996,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alassane Sidibe,ci CIV,FW,Atalanta,it Serie A,19-279,2002,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,29-229,1992,15,12,896,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.02,0.09,0.11,0.02,0.11,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,23-322,1998,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.11,0.21,0.10,0.21,Matches
Francisco Sierralta,cl CHI,DF,Watford,eng Premier League,24-313,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Arnór Sigurðsson,is ISL,"MF,FW",Venezia,it Serie A,22-304,1999,9,0,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.02,0.06,0.04,0.06,Matches
Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,19-303,2002,5,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.12,0.12,0.00,0.12,Matches
Adrien Silva,pt POR,MF,Sampdoria,it Serie A,33-000,1989,17,12,1083,12.0,0,1,0,0,0,3,1,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.5,0.8,0.02,0.04,0.07,0.02,0.07,Matches
André Silva,pt POR,FW,RB Leipzig,de Bundesliga,26-129,1995,26,18,1631,18.1,10,2,7,3,3,1,0,0.55,0.11,0.66,0.39,0.50,10.0,8.1,2.0,10.1,0.55,0.11,0.66,0.45,0.56,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,27-217,1994,28,28,2406,26.7,7,2,7,0,0,5,0,0.26,0.07,0.34,0.26,0.34,6.4,6.4,4.5,10.9,0.24,0.17,0.41,0.24,0.41,Matches
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,24-227,1997,24,21,1778,19.8,1,5,1,0,0,3,0,0.05,0.25,0.30,0.05,0.30,0.8,0.8,4.2,4.9,0.04,0.21,0.25,0.04,0.25,Matches
David Silva,es ESP,MF,Real Sociedad,es La Liga,36-066,1986,18,16,1168,13.0,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,1.5,1.5,2.0,3.5,0.12,0.15,0.27,0.12,0.27,Matches
Fábio Silva,pt POR,"FW,MF",Wolves,eng Premier League,19-239,2002,16,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.0,0.33,0.02,0.35,0.33,0.35,Matches
Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,30-306,1991,6,5,405,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Jonathan Silva,ar ARG,"DF,MF",Getafe,es La Liga,27-259,1994,9,1,226,2.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches
Rui Silva,pt POR,GK,Betis,es La Liga,28-036,1994,17,17,1530,17.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Thiago Silva,br BRA,DF,Chelsea,eng Premier League,37-174,1984,23,20,1913,21.3,3,0,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.1,0.8,0.03,0.01,0.04,0.03,0.04,Matches
Marco Silvestri,it ITA,GK,Udinese,it Serie A,31-013,1991,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21-316,2000,22,17,1555,17.3,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.2,1.1,0.05,0.01,0.07,0.05,0.07,Matches
Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26-253,1995,26,23,1897,21.1,15,2,15,0,0,6,0,0.71,0.09,0.81,0.71,0.81,7.2,7.2,1.2,8.3,0.34,0.06,0.40,0.34,0.40,Matches
Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26-253,1995,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ellis Simms,eng ENG,FW,Everton,eng Premier League,21-069,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,26-246,1995,23,22,1827,20.3,3,7,3,0,0,3,0,0.15,0.34,0.49,0.15,0.49,3.4,3.4,6.1,9.5,0.17,0.30,0.47,0.17,0.47,Matches
Unai Simón,es ESP,GK,Athletic Club,es La Liga,24-277,1997,24,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Xavi Simons,nl NED,"FW,MF",Paris S-G,fr Ligue 1,18-328,2003,4,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.27,0.11,0.38,0.27,0.38,Matches
Wilfried Singo,ci CIV,DF,Torino,it Serie A,21-080,2000,27,25,2027,22.5,3,3,3,0,0,3,1,0.13,0.13,0.27,0.13,0.27,2.2,2.2,2.2,4.4,0.10,0.10,0.20,0.10,0.20,Matches
Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,26-254,1995,6,2,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.10,0.23,0.33,0.10,0.33,Matches
Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,35-062,1987,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,20-044,2002,7,6,436,4.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.07,0.10,0.03,0.10,Matches
Ibrahima Sissoko,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,24-139,1997,25,21,1807,20.1,1,5,1,0,0,4,0,0.05,0.25,0.30,0.05,0.30,1.8,1.8,3.8,5.6,0.09,0.19,0.28,0.09,0.28,Matches
Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,32-211,1989,27,27,2410,26.8,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,2.4,4.8,0.09,0.09,0.18,0.09,0.18,Matches
Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,25-008,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sambou Sissoko,fr FRA,"MF,DF",Reims,fr Ligue 1,22-322,1999,8,0,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.08,0.13,0.21,0.08,0.21,Matches
Antonio Sivera,es ESP,GK,Alavés,es La Liga,25-216,1996,3,2,187,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26-309,1995,15,13,1190,13.2,3,1,3,0,0,3,0,0.23,0.08,0.30,0.23,0.30,2.2,2.2,0.2,2.5,0.17,0.02,0.19,0.17,0.19,Matches
Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,21-180,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,22-107,1999,7,5,519,5.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30-314,1991,28,28,2520,28.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Skov Olsen,dk DEN,"DF,FW",Bologna,it Serie A,22-076,1999,18,6,747,8.3,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.9,0.9,0.4,1.3,0.11,0.05,0.15,0.11,0.15,Matches
Robert Skov,dk DEN,"DF,FW",Hoffenheim,de Bundesliga,25-299,1996,6,2,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.21,0.07,0.28,0.21,0.28,Matches
Milan Škriniar,sk SVK,DF,Inter,it Serie A,27-032,1995,25,25,2250,25.0,3,0,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.9,1.9,0.5,2.4,0.08,0.02,0.10,0.08,0.10,Matches
Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33-270,1988,12,6,573,6.4,1,1,1,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.8,1.8,0.7,2.5,0.28,0.11,0.39,0.28,0.39,Matches
William Smallbone,ie IRL,"MF,FW",Southampton,eng Premier League,22-022,2000,2,2,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.07,0.14,0.06,0.14,Matches
Chris Smalling,eng ENG,DF,Roma,it Serie A,32-113,1989,20,16,1461,16.2,2,0,2,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.2,1.2,0.1,1.3,0.08,0.01,0.08,0.08,0.08,Matches
Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,eng Premier League,21-230,2000,22,15,1392,15.5,9,2,9,0,0,0,0,0.58,0.13,0.71,0.58,0.71,3.9,3.9,2.0,5.8,0.25,0.13,0.38,0.25,0.38,Matches
Cédric Soares,pt POR,DF,Arsenal,eng Premier League,30-196,1991,9,7,652,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.02,0.05,0.08,0.02,0.08,Matches
Danilo Soares,br BRA,DF,Bochum,de Bundesliga,30-137,1991,24,24,2086,23.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.3,0.02,0.04,0.05,0.02,0.05,Matches
Rubén Sobrino,es ESP,MF,Valencia,es La Liga,29-287,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rubén Sobrino,es ESP,"FW,MF",Cádiz,es La Liga,29-287,1992,23,14,1326,14.7,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,2.6,2.5,1.1,3.7,0.17,0.08,0.25,0.17,0.25,Matches
Alex Sola,es ESP,"DF,FW",Real Sociedad,es La Liga,22-279,1999,2,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.20,0.18,0.38,0.20,0.38,Matches
