1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,29-155,1992,8,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-330,1995,20,14,1143,12.7,2,2,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.2,1.2,1.6,2.8,0.10,0.12,0.22,0.10,0.22,Matches
David Alaba,at AUT,DF,Real Madrid,es La Liga,29-264,1992,25,25,2242,24.9,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches
Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23-229,1998,4,0,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23-055,1999,19,15,1326,14.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,29-158,1992,19,3,449,5.0,3,0,3,0,1,2,0,0.60,0.00,0.60,0.60,0.60,3.7,2.9,0.9,3.8,0.74,0.18,0.91,0.59,0.76,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,32-359,1989,20,20,1749,19.4,1,7,1,0,0,5,0,0.05,0.36,0.41,0.05,0.41,0.9,0.9,3.4,4.3,0.05,0.17,0.22,0.05,0.22,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,30-053,1992,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,29-168,1992,26,20,1793,19.9,4,7,4,0,0,5,0,0.20,0.35,0.55,0.20,0.55,2.6,2.6,5.3,7.9,0.13,0.27,0.40,0.13,0.40,Matches
