1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Jasper Cillessen,GK,Valencia,32-327,0,1
Pathé Ciss,MF,Rayo Vallecano,27-364,1,1
Giorgio Cittadini,DF,Atalanta,19-331,0,0
Ciaran Clark,DF,Newcastle Utd,32-170,0,1
Alexis Claude-Maurice,MF,Nice,23-282,0,2
Jonathan Clauss,DF,Lens,29-171,4,9
Carlos Clerc,DF,Levante,30-022,0,0
Tom Cleverley,MF,Watford,32-215,0,2
Nathaniel Clyne,DF,Crystal Palace,30-344,0,0
Conor Coady,DF,Wolves,29-018,3,0
Marcus Coco,"FW,MF",Nantes,25-264,0,0
Coke,"DF,MF",Levante,34-323,0,0
Séamus Coleman,DF,Everton,33-155,1,0
Álex Collado,"MF,FW",Granada,22-327,0,0
Ebrima Colley,"FW,MF",Spezia,22-042,0,0
Omar Colley,DF,Sampdoria,29-142,0,0
Nathan Collins,DF,Burnley,20-319,0,0
Kingsley Coman,"FW,DF",Bayern Munich,25-275,4,2
Eray Cömert,DF,Valencia,24-039,0,0
Santi Comesaña,MF,Rayo Vallecano,25-161,1,2
Diego Conde,GK,Getafe,23-138,0,0
Aaron Connolly,FW,Brighton,22-046,0,0
Andrea Consigli,GK,Sassuolo,35-047,0,0
