1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Emiliano Martínez,GK,Aston Villa,29-194,0,0
Iñigo Martínez,DF,Athletic Club,30-302,3,0
Javi Martínez,"MF,FW",Osasuna,22-083,1,1
Josep Martinez,GK,RB Leipzig,23-292,0,0
Lautaro Martínez,FW,Inter,24-205,14,2
Pablo Martínez,MF,Levante,24-021,0,1
Gelson Martins,"FW,MF",Monaco,26-308,4,2
Adam Marušić,DF,Lazio,29-149,0,0
Omar Mascarell,MF,Elche,29-041,0,0
Andrea Masiello,DF,Genoa,36-038,0,0
Adam Masina,DF,Watford,28-072,0,0
Erhan Mašović,DF,Bochum,23-113,0,0
Roberto Massimo,"DF,FW",Stuttgart,21-154,2,0
Arthur Masuaku,"DF,FW",West Ham,28-128,1,1
Jaime Mata,FW,Getafe,33-142,1,0
Pape Matar Sarr,MF,Metz,19-182,1,1
Eliot Matazo,MF,Monaco,20-028,0,0
Aleš Matějů,DF,Venezia,25-285,0,1
Jean-Philippe Mateta,FW,Crystal Palace,24-260,3,1
Nemanja Matić,MF,Manchester Utd,33-226,0,2
Joël Matip,DF,Liverpool,30-219,1,2
Chrislain Matsima,DF,Monaco,19-304,0,0
Azor Matusiwa,MF,Reims,23-321,1,1
Neal Maupay,FW,Brighton,25-213,8,2
Stephy Mavididi,"FW,MF",Montpellier,23-288,8,3
Konstantinos Mavropanos,DF,Stuttgart,24-094,4,0
Eric Maxim Choupo-Moting,"FW,MF",Bayern Munich,32-357,4,1
Luís Maximiano,GK,Granada,23-069,0,0
Borja Mayoral,FW,Getafe,24-344,3,1
Derek Mazou-Sacko,FW,Troyes,17-160,0,0
Pasquale Mazzocchi,DF,Venezia,26-231,0,1
Kevin Mbabu,DF,Wolfsburg,26-330,0,0
Kylian Mbappé,FW,Paris S-G,23-085,15,11
Ibrahima Mbaye,DF,Bologna,27-116,0,0
Amadou Mbengue,"DF,MF",Metz,20-069,0,0
Bryan Mbeumo,FW,Brentford,22-220,3,3
Jason Mbock,FW,Angers,22-134,0,0
Jordi Mboula,FW,Mallorca,22-364,0,0
Moustapha Mbow,DF,Reims,22-007,0,0
Nathanael Mbuku,"FW,MF",Reims,19-364,2,1
James McArthur,MF,Crystal Palace,34-159,0,2
James Mcatee,"MF,FW",Manchester City,19-148,0,0
Kasey McAteer,FW,Leicester City,20-113,0,0
Liam McCarron,FW,Leeds United,21-008,0,0
Alex McCarthy,GK,Southampton,32-102,0,0
John McGinn,MF,Aston Villa,27-148,3,2
Weston McKennie,MF,Juventus,23-199,3,0
Stuart McKinstry,MF,Leeds United,19-178,0,0
Kenny McLean,MF,Norwich City,30-066,1,0
Dwight McNeil,MF,Burnley,22-113,0,1
Scott McTominay,MF,Manchester Utd,25-097,1,1
Gary Medel,DF,Bologna,34-224,0,1
Facundo Medina,DF,Lens,22-291,1,0
Nathan de Medina,DF,Arminia,24-158,0,0
Ben Mee,DF,Burnley,32-173,3,0
Admir Mehmedi,MF,Wolfsburg,30-364,0,0
Farid El Melali,FW,Angers,24-245,0,0
Filippo Melegoni,"MF,FW",Genoa,23-025,1,0
Óscar Melendo,"MF,FW",Espanyol,24-204,0,0
Gonzalo Melero,MF,Levante,28-072,3,2
Birger Meling,DF,Rennes,27-088,0,4
Arthur Melo,MF,Juventus,25-215,0,0
Houboulang Mendes,DF,Lorient,23-315,0,0
Nuno Mendes,DF,Paris S-G,19-269,0,1
Thiago Mendes,"MF,DF",Lyon,30-000,1,0
Brais Méndez,"MF,FW",Celta Vigo,25-067,4,4
Édgar Méndez,"FW,MF",Alavés,32-072,1,0
Arial Mendy,"FW,DF",Clermont Foot,27-128,0,0
Batista Mendy,"MF,DF",Angers,22-062,0,0
Benjamin Mendy,DF,Manchester City,27-241,0,0
Edouard Mendy,GK,Chelsea,30-014,0,0
Ferland Mendy,DF,Real Madrid,26-280,1,1
Nampalys Mendy,MF,Leicester City,29-265,0,0
Gideon Mensah,DF,Bordeaux,23-240,0,1
Jorge Meré,DF,Köln,24-332,0,0
Alex Meret,GK,Napoli,24-358,0,0
Fran Mérida,MF,Espanyol,32-011,0,0
Mikel Merino,MF,Real Sociedad,25-266,3,2
Quentin Merlin,DF,Nantes,19-303,1,1
Martín Merquelanz,FW,Rayo Vallecano,26-276,0,0
Yıldırım Mert Çetin,DF,Hellas Verona,25-073,0,0
Dries Mertens,"FW,MF",Napoli,34-313,7,0
Illan Meslier,GK,Leeds United,22-013,0,0
Lionel Messi,"FW,MF",Paris S-G,34-264,2,10
Junior Messias,"FW,MF",Milan,30-306,4,0
Thomas Meunier,DF,Dortmund,30-184,2,4
Mexer,DF,Bordeaux,33-188,1,0
Marco Meyerhöfer,DF,Greuther Fürth,26-117,1,0
Matt Miazga,DF,Alavés,26-239,0,0
Kingsley Michael,MF,Bologna,22-201,0,0
Sven Michel,FW,Union Berlin,31-243,0,0
Edouard Michut,MF,Paris S-G,19-011,0,1
Miguel,"FW,MF",Alavés,22-193,0,1
Valentin Mihaila,"MF,FW",Atalanta,22-041,0,0
Mikael,FW,Salernitana,22-291,0,0
Georges Mikautadze,FW,Metz,21-135,0,0
William Mikelbrencis,DF,Metz,18-018,0,0
Nikola Milenković,DF,Fiorentina,24-154,1,0
Arkadiusz Milik,FW,Marseille,28-015,6,1
Sergej Milinković-Savić,MF,Lazio,27-016,8,7
Vanja Milinković-Savić,GK,Torino,25-023,0,0
Éder Militão,DF,Real Madrid,24-056,1,2
Luka Milivojević,MF,Crystal Palace,30-342,0,0
Luis Milla,MF,Granada,27-159,2,2
Pere Milla,"MF,FW",Elche,29-173,7,3
Enzo Millot,MF,Stuttgart,19-241,0,0
James Milner,"MF,DF",Liverpool,36-070,0,1
Santi Mina,FW,Celta Vigo,26-098,7,3
Yerry Mina,DF,Everton,27-173,0,0
Takumi Minamino,"FW,MF",Liverpool,27-058,2,0
Tyrone Mings,DF,Aston Villa,29-002,1,3
Óscar Mingueza,DF,Barcelona,22-306,0,1
Rafa Mir,FW,Sevilla,24-270,8,0
Jorge Miramón,DF,Levante,32-286,0,0
Aleksei Miranchuk,"MF,FW",Atalanta,26-149,2,2
Juan Miranda,DF,Betis,22-055,0,1
Tyrick Mitchell,DF,Crystal Palace,22-195,0,2
Stefan Mitrović,DF,Getafe,31-297,1,0
Maximilian Mittelstädt,"DF,FW",Hertha BSC,24-362,0,3
Henrikh Mkhitaryan,"MF,FW",Roma,33-053,3,4
Jakub Moder,"MF,FW",Brighton,22-342,0,3
Anthony Modeste,FW,Köln,33-335,15,1
Marco Modolo,DF,Venezia,32-357,0,0
Luka Modrić,MF,Real Madrid,36-187,2,5
Terem Moffi,FW,Lorient,22-294,4,3
Kevin Möhwald,MF,Union Berlin,28-255,0,0
Dion Moise Sahi,"FW,MF",Strasbourg,20-085,0,0
Johan Mojica,DF,Elche,29-206,1,4
Clinton Mola,DF,Stuttgart,21-000,0,0
Jorge Molina,FW,Granada,39-327,7,3
Nahuel Molina,DF,Udinese,24-103,5,1
Cristian Molinaro,DF,Venezia,38-228,0,1
Florent Mollet,"FW,MF",Montpellier,30-116,5,2
Jon Moncayola,MF,Osasuna,23-306,2,3
Monchu,MF,Granada,22-183,0,0
Thomas Monconduit,MF,Lorient,31-033,3,2
Gonzalo Montiel,DF,Sevilla,25-073,1,2
Lorenzo Montipò,GK,Hellas Verona,26-023,0,0
Ángel Montoro,MF,Granada,33-263,1,1
Martín Montoya,DF,Betis,30-335,0,1
Wesley Moraes,FW,Aston Villa,25-109,0,0
Álvaro Morata,FW,Juventus,29-143,8,2
Jan Morávek,MF,Augsburg,32-134,0,0
Jon Morcillo,MF,Athletic Club,23-181,0,0
Jérémy Morel,DF,Lorient,37-347,0,0
Alberto Moreno,"MF,DF",Villarreal,29-253,3,2
Álex Moreno,DF,Betis,28-280,4,2
Gerard Moreno,FW,Villarreal,29-342,8,2
Tete Morente,MF,Elche,25-101,2,3
Ilaix Moriba,MF,RB Leipzig,19-055,0,0
Manu Morlanes,MF,Espanyol,23-062,2,0
Raúl Moro,FW,Lazio,19-100,0,1
Loren Morón,"FW,MF",Espanyol,28-075,1,0
Tyler Morton,MF,Liverpool,19-135,0,0
Cristhian Mosquera,DF,Valencia,17-261,0,0
Lebo Mothiba,FW,Troyes,26-046,1,0
Andrei Motoc,DF,Salernitana,20-073,0,0
Baptiste Mouazan,MF,Lorient,20-169,0,0
Aimen Moueffek,MF,Saint-Étienne,20-340,0,0
Youssoufa Moukoko,FW,Dortmund,17-115,1,0
Harold Moukoudi,DF,Saint-Étienne,24-108,0,0
Steve Mounié,FW,Brest,27-167,6,1
Mason Mount,"MF,FW",Chelsea,23-064,8,7
Lucas Moura,"FW,MF",Tottenham,29-214,2,4
Lys Mousset,"FW,MF",Salernitana,26-035,0,1
João Moutinho,MF,Wolves,35-188,2,1
Samuel Moutoussamy,MF,Nantes,25-215,0,1
Toni Moya,MF,Alavés,23-360,0,1
Samuel Mráz,FW,Spezia,24-306,0,0
Nordi Mukiele,DF,RB Leipzig,24-134,1,1
Mert Müldür,DF,Sassuolo,22-346,0,0
Florian Müller,GK,Stuttgart,24-122,0,0
Thomas Müller,MF,Bayern Munich,32-183,7,16
Bali Mumba,DF,Norwich City,20-158,0,0
Marshall Munetsi,"MF,DF",Reims,25-266,3,0
Iker Muniain,MF,Athletic Club,29-086,3,7
Aihen Muñoz,DF,Real Sociedad,24-211,0,0
Luis Muriel,FW,Atalanta,30-333,4,4
Jeison Murillo,DF,Celta Vigo,29-292,0,0
Vedat Muriqi,FW,Mallorca,27-325,2,1
Jacob Murphy,"DF,FW",Newcastle Utd,27-019,1,1
Nicola Murru,DF,Sampdoria,27-089,1,0
Yunus Musah,"MF,FW",Valencia,19-106,1,0
Torben Müsel,MF,M'Gladbach,22-233,0,0
Jamal Musiala,"MF,FW",Bayern Munich,19-017,3,4
Juan Musso,GK,Atalanta,27-313,0,0
Shkodran Mustafi,DF,Levante,29-332,1,0
Enock Mwepu,MF,Brighton,24-073,1,3
Vitaliy Mykolenko,DF,Everton,22-290,0,0
Joakim Mæhle,DF,Atalanta,24-299,1,0
Obite N'Dicka,DF,Eint Frankfurt,22-207,3,3
Kévin N'Doram,"MF,DF",Metz,26-052,0,0
Vital N'Simba,DF,Clermont Foot,28-250,1,2
Nacho,DF,Real Madrid,32-056,2,0
Mickael Nade,DF,Saint-Étienne,23-011,1,0
Marvelous Nakamba,MF,Aston Villa,28-055,0,0
Nahitan Nández,"MF,DF",Cagliari,26-077,0,2
Nani,"MF,FW",Venezia,35-118,0,0
Paul Nardi,GK,Lorient,27-301,0,0
Nikolas Nartey,"MF,DF",Stuttgart,22-021,0,0
Matija Nastasić,DF,Fiorentina,28-352,0,0
Roberto Navarro,"MF,FW",Real Sociedad,19-337,0,0
Ximo Navarro,DF,Alavés,32-051,0,0
Jesús Navas,DF,Sevilla,36-114,0,2
Keylor Navas,GK,Paris S-G,35-090,0,0
Papa Ndiaga Yade,"DF,MF",Metz,22-069,0,0
Loum Ndiaye,MF,Alavés,25-075,2,0
Wilfred Ndidi,"MF,DF",Leicester City,25-089,0,0
Tanguy Ndombele,MF,Tottenham,25-077,1,2
Dan Ndoye,"FW,MF",Nice,21-141,0,1
Paul Nebel,"MF,FW",Mainz 05,19-156,0,1
Álvaro Negredo,FW,Cádiz,36-207,6,1
Reiss Nelson,FW,Arsenal,22-095,0,0
David Nemeth,DF,Mainz 05,20-362,0,0
Ilija Nestorovski,FW,Udinese,32-003,0,0
Neto,GK,Barcelona,32-239,0,0
Pedro Neto,"MF,FW",Wolves,22-006,0,0
Luca Netz,DF,M'Gladbach,18-304,0,3
Manuel Neuer,GK,Bayern Munich,35-353,0,0
Florian Neuhaus,MF,M'Gladbach,24-364,4,2
Carlos Neva,DF,Granada,25-276,0,0
Rúben Neves,MF,Wolves,25-002,4,2
Neymar,"FW,MF",Paris S-G,30-038,5,3
Yvan Neyou,MF,Saint-Étienne,25-071,0,0
Jeremy Ngakia,DF,Watford,21-189,0,0
Opa Nguette,"FW,MF",Metz,27-250,2,2
Aurélien Nguiamba,MF,Spezia,23-056,0,0
Sikou Niakaté,DF,Metz,22-248,0,0
Moussa Niakhate,DF,Mainz 05,26-007,2,0
Ibrahima Niane,FW,Metz,23-004,3,1
M'Baye Niang,FW,Bordeaux,27-086,1,0
Cheikh Niasse,"MF,FW",Lille,22-055,0,0
Florian Niederlechner,FW,Augsburg,31-142,3,2
Håvard Nielsen,"MF,FW",Greuther Fürth,28-243,2,0
Saúl Ñíguez,"DF,MF",Chelsea,27-114,0,1
Dimitris Nikolaou,DF,Spezia,23-214,0,0
Joakim Nilsson,DF,Arminia,28-037,0,0
Casimir Ninga,FW,Angers,28-302,0,0
Fernando Niño,FW,Mallorca,21-142,2,0
Eddie Nketiah,"FW,MF",Arsenal,22-289,0,1
Nicolas Nkoulou,DF,Watford,31-353,0,0
Christopher Nkunku,"FW,MF",RB Leipzig,24-121,15,9
Lukas Nmecha,"FW,MF",Wolfsburg,23-091,6,0
Mark Noble,MF,West Ham,34-311,1,0
Peru Nolaskoain,DF,Athletic Club,23-141,0,0
Nolito,MF,Celta Vigo,35-151,1,0
Arnaud Nordin,"FW,MF",Saint-Étienne,23-271,2,4
Håvard Nordtveit,"DF,MF",Hoffenheim,31-267,0,0
Mathias Normann,MF,Norwich City,25-291,1,1
Connor Noß,MF,M'Gladbach,21-073,0,0
Hugo Novoa,"MF,FW",RB Leipzig,19-073,1,0
Soma Novothny,"FW,MF",Bochum,27-272,1,0
Jean-Pierre Nsame,FW,Venezia,28-318,0,0
Randy Ntekja,"FW,MF",Rayo Vallecano,24-099,3,0
Alexander Nübel,GK,Monaco,25-166,0,0
Kasim Nuhu,DF,Hoffenheim,26-266,0,0
Unai Núñez,DF,Athletic Club,25-044,0,0
Hans Nunoo Sarpei,"DF,MF",Greuther Fürth,23-205,0,0
Bram Nuytinck,DF,Udinese,31-315,0,0
Simeon Nwankwo,FW,Salernitana,29-312,1,1
Gerzino Nyamsi,DF,Strasbourg,25-052,0,2
Allan Nyom,DF,Getafe,33-309,0,0
M'Bala Nzola,FW,Spezia,25-209,2,1
Christian Nørgaard,MF,Brentford,28-005,2,2
Adam Obert,DF,Cagliari,19-204,0,0
Joel Obi,MF,Salernitana,30-297,0,1
Jan Oblak,GK,Atlético Madrid,29-067,0,0
Lucas Ocampos,"FW,DF",Sevilla,27-247,5,2
Bastian Oczipka,DF,Union Berlin,33-062,0,1
Álvaro Odriozola,DF,Fiorentina,26-091,1,1
Angelo Ogbonna,DF,West Ham,33-296,1,0
Florent Ogier,DF,Clermont Foot,32-359,1,0
Stefano Okaka,FW,Udinese,32-218,0,1
David Okereke,"FW,MF",Venezia,24-198,6,0
Masaya Okugawa,"MF,FW",Arminia,25-335,8,1
Lucas Olaza,MF,Elche,27-237,0,0
Michael Olise,"FW,MF",Crystal Palace,20-093,2,5
Christian Oliva,MF,Cagliari,25-287,0,0
Brian Oliván,DF,Mallorca,27-348,1,0
Sérgio Oliveira,MF,Roma,29-286,2,0
Mathías Olivera,DF,Getafe,24-135,1,2
Dani Olmo,MF,RB Leipzig,23-312,2,3
Warmed Omari,DF,Rennes,21-326,0,0
Jonas Omlin,GK,Montpellier,28-064,0,0
Andrew Omobamidele,DF,Norwich City,19-265,1,0
Amadou Onana,MF,Lille,20-211,0,0
Jean Onana,MF,Bordeaux,22-066,2,2
Karim Onisiwo,FW,Mainz 05,29-363,3,7
Javier Ontiveros,"MF,FW",Osasuna,24-187,0,0
Tyler Onyango,"MF,FW",Everton,19-011,0,0
Frank Onyeka,MF,Brentford,24-073,0,0
Willi Orban,DF,RB Leipzig,29-132,1,1
Divock Origi,FW,Liverpool,26-331,2,0
Riccardo Orsolini,"FW,DF",Bologna,25-050,4,2
Stefan Ortega,GK,Arminia,29-129,0,0
Pedro Ortiz,MF,Sevilla,21-208,0,0
Victor Osimhen,FW,Napoli,23-076,9,0
Milutin Osmajić,"FW,MF",Cádiz,22-233,0,0
David Ospina,GK,Napoli,33-196,0,0
Patrick Osterhage,MF,Bochum,22-042,0,1
Tomáš Ostrák,"MF,FW",Köln,22-038,0,1
Otávio,MF,Bordeaux,27-315,0,0
Paulo Otávio,DF,Wolfsburg,27-112,0,1
Dango Ouattara,"MF,FW",Lorient,20-032,0,0
Remi Oudin,"MF,FW",Bordeaux,25-117,4,5
Alexandre Oukidja,GK,Metz,33-239,0,0
Azzedine Ounahi,MF,Angers,21-330,2,0
Adam Ounas,"MF,FW",Napoli,25-124,0,0
Jesús Owono,GK,Alavés,21-014,0,0
Reece Oxford,DF,Augsburg,23-089,2,0
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,28-212,2,1
Mikel Oyarzabal,"FW,MF",Real Sociedad,24-328,9,3
Ambroise Oyongo,DF,Montpellier,30-266,1,0
Salih Özcan,MF,Köln,24-063,2,0
Levin Öztunalı,MF,Union Berlin,26-000,0,0
Fernando Pacheco,GK,Alavés,29-301,0,0
Jon Pacheco,DF,Real Sociedad,21-066,0,0
Gonçalo Paciência,FW,Eint Frankfurt,27-226,2,0
Daniele Padelli,GK,Udinese,36-141,0,0
Gavi Paez,"MF,FW",Barcelona,17-222,2,4
Vincent Pajot,MF,Metz,31-208,0,0
Exequiel Palacios,MF,Leverkusen,23-161,0,1
Helibelton Palacios,DF,Elche,28-279,0,0
Isaac Palazón Camacho,"FW,MF",Rayo Vallecano,27-078,2,1
Nicolas Pallois,DF,Nantes,34-177,0,0
Cole Palmer,"FW,MF",Manchester City,19-313,0,0
Erik Palmer-Brown,DF,Troyes,24-325,0,0
Emerson Palmieri,DF,Chelsea,27-224,1,2
Goran Pandev,"FW,MF",Genoa,38-231,0,1
Ivor Pandur,GK,Hellas Verona,21-355,0,0
Miloš Pantović,"MF,FW",Bochum,25-251,3,1
Antonios Papadopoulos,DF,Dortmund,22-186,0,0
Matondo-Merveille Papela,MF,Mainz 05,21-056,0,0
Lucas Paquetá,"FW,MF",Lyon,24-200,7,4
Rubén Pardo,MF,Bordeaux,29-144,0,0
Leandro Paredes,MF,Paris S-G,27-259,1,2
Daniel Parejo,MF,Villarreal,32-333,2,6
Fabiano Parisi,DF,Empoli,21-126,0,1
Raúl Parra,DF,Cádiz,22-109,0,0
Thomas Partey,MF,Arsenal,28-275,2,1
Mario Pašalić,"MF,FW",Atalanta,27-034,9,5
Felix Passlack,DF,Dortmund,23-290,0,0
Javier Pastore,"MF,FW",Elche,32-268,0,0
Patric,DF,Lazio,28-332,0,1
Rui Patrício,GK,Roma,34-028,0,0
Paulinho,FW,Leverkusen,21-243,0,1
Gabriel Paulista,DF,Valencia,31-109,2,1
Benjamin Pavard,DF,Bayern Munich,25-352,0,1
Strahinja Pavlović,DF,Monaco,20-295,0,0
Leonardo Pavoletti,FW,Cagliari,33-109,5,1
Dimitri Payet,"FW,MF",Marseille,34-351,9,9
Mads Pedersen,"DF,MF",Augsburg,25-195,1,0
Alfonso Pedraza,DF,Villarreal,25-340,0,3
Pedri,MF,Barcelona,19-110,1,1
Pedro,FW,Lazio,34-230,8,3
João Pedro,FW,Cagliari,30-006,12,4
Pedrosa,DF,Espanyol,23-306,1,1
Gianluca Pegolo,GK,Sassuolo,40-355,0,0
Peter Pekarík,DF,Hertha BSC,35-136,0,0
Pietro Pellegri,FW,Torino,20-363,0,0
Lorenzo Pellegrini,MF,Roma,25-269,7,2
Luca Pellegrini,DF,Juventus,23-008,0,1
Facundo Pellistri,"MF,FW",Alavés,20-085,0,0
Federico Peluso,DF,Sassuolo,38-054,0,0
Timothee Pembele,DF,Bordeaux,19-187,1,1
Rubén Peña,"MF,FW",Villarreal,30-240,0,0
Philipp Pentke,GK,Hoffenheim,36-318,0,0
Nicolas Pépé,"FW,MF",Arsenal,26-290,1,1
Ricardo Pepi,FW,Augsburg,19-065,0,0
Alberto Perea,MF,Cádiz,31-086,0,1
Victor Perea,DF,Espanyol,21-348,0,0
Mathias Pereira Lage,"DF,FW",Angers,25-105,1,1
Brayann Pereira,DF,Lens,18-298,0,0
Danilo Pereira,MF,Paris S-G,30-187,5,0
Ricardo Pereira,DF,Leicester City,28-160,1,2
Gastón Pereiro,"FW,MF",Cagliari,26-277,4,0
Luan Peres Petroni,DF,Marseille,27-239,0,1
Dor Peretz,MF,Venezia,26-302,0,0
Roberto Pereyra,"MF,FW",Udinese,31-067,2,3
Ayoze Pérez,"FW,MF",Leicester City,28-235,0,2
Carles Pérez,"MF,FW",Roma,24-027,0,1
Iñigo Pérez,MF,Osasuna,34-056,1,0
Juan Pérez,GK,Osasuna,25-243,0,0
Kike Pérez,MF,Elche,25-029,0,0
Lucas Pérez,FW,Elche,33-186,2,1
Nehuén Pérez,DF,Udinese,21-264,0,1
Mattia Perin,GK,Juventus,29-125,0,0
Ivan Perišić,DF,Inter,33-041,5,1
Sonny Perkins,FW,West Ham,18-033,0,0
Diego Perotti,"FW,MF",Salernitana,33-232,0,0
Romain Perraud,DF,Southampton,24-174,0,1
Lucas Perrin,DF,Strasbourg,23-116,1,0
Mario Perrone,DF,Salernitana,19-037,0,0
Pavao Pervan,GK,Wolfsburg,34-122,0,0
Matteo Pessina,"MF,FW",Atalanta,24-328,1,1
Andrea Petagna,FW,Napoli,26-258,3,0
Nils Petersen,FW,Freiburg,33-099,3,1
Danijel Petković,GK,Angers,28-294,0,0
Léo Pétrot,DF,Lorient,24-334,1,0
Njegoš Petrović,MF,Granada,22-240,0,0
Jens Petter Hauge,"FW,MF",Eint Frankfurt,22-154,2,1
Alex Petxa,"DF,MF",Athletic Club,25-037,0,0
Germán Pezzella,DF,Betis,30-261,1,0
Giuseppe Pezzella,DF,Atalanta,24-106,0,1
Maximilian Philipp,"MF,FW",Wolfsburg,28-014,1,4
Romain Philippoteaux,MF,Brest,34-013,0,0
Kalvin Phillips,MF,Leeds United,26-103,0,1
Jaden Philogene Bidace,FW,Aston Villa,19-301,0,0
Jérôme Phojo,DF,Clermont Foot,28-334,0,0
Krzysztof Piątek,FW,Hertha BSC,26-257,4,0
Pablo Piatti,"MF,FW",Elche,32-349,0,0
Cristiano Piccini,DF,Valencia,29-170,1,0
Roberto Piccoli,FW,Genoa,21-047,1,0
Jordan Pickford,GK,Everton,28-008,0,0
Amos Pieper,DF,Arminia,24-057,0,0
Ronaël Pierre-Gabriel,DF,Brest,23-275,0,1
Erik Pieters,DF,Burnley,33-220,0,0
Tomás Pina Isla,MF,Alavés,34-152,0,0
Andrea Pinamonti,FW,Empoli,22-300,9,1
Orbelín Pineda,MF,Celta Vigo,25-356,0,0
Ethan Pinnock,DF,Brentford,28-290,1,1
Yeremi Pino,"MF,FW",Villarreal,19-146,6,4
Gerard Piqué,DF,Barcelona,35-041,1,0
Marko Pjaca,"FW,MF",Torino,26-313,3,0
Marvin Plattenhardt,DF,Hertha BSC,30-048,0,0
Alassane Pléa,"FW,MF",M'Gladbach,29-005,6,5
Tommaso Pobega,MF,Torino,22-243,4,2
Daniel Podence,"FW,MF",Wolves,26-145,2,2
Suf Podgoreanu,FW,Spezia,20-054,0,1
Paul Pogba,"MF,FW",Manchester Utd,29-000,1,9
Joel Pohjanpalo,FW,Leverkusen,27-183,0,0
Matteo Politano,FW,Napoli,28-224,1,3
Julian Pollersbeck,GK,Lyon,27-211,0,0
Sebastian Polter,FW,Bochum,30-348,8,1
Ezequiel Ponce,FW,Elche,24-351,1,0
Marin Pongračić,DF,Dortmund,24-185,0,0
Pere Pons,MF,Alavés,29-023,1,0
Nick Pope,GK,Burnley,29-330,0,0
Manolo Portanova,"MF,FW",Genoa,21-286,0,0
Portu,"FW,MF",Real Sociedad,29-298,0,2
Stefan Posch,DF,Hoffenheim,24-305,2,0
Sergio Postigo,DF,Levante,33-131,0,0
Yussuf Poulsen,"FW,MF",RB Leipzig,27-273,5,0
Gaëtan Poussin,GK,Bordeaux,23-061,0,0
Darío Poveda,"FW,MF",Getafe,25-002,1,0
José Pozo,MF,Rayo Vallecano,26-000,0,0
Dennis Praet,"MF,FW",Torino,27-305,2,1
Mateusz Praszelik,"FW,MF",Hellas Verona,21-170,0,0
Abdón Prats,FW,Mallorca,29-098,1,0
Sanjin Prcić,MF,Strasbourg,28-115,1,0
Nicolas de Préville,"FW,MF",Metz,31-066,4,1
Manuel Prietl,MF,Arminia,30-224,0,1
Grischa Prömel,MF,Union Berlin,27-065,4,1
Ivan Provedel,GK,Spezia,27-363,0,0
Javi Puado,"MF,FW",Espanyol,23-294,4,1
Pubill,DF,Levante,18-268,0,0
Antonio Puertas,"MF,FW",Granada,30-022,4,1
Riqui Puig,MF,Barcelona,22-214,1,0
Teemu Pukki,FW,Norwich City,31-351,8,2
Erick Pulgar,MF,Fiorentina,28-059,0,1
Christian Pulisic,"MF,FW",Chelsea,23-178,4,1
Afimico Pululu,FW,Greuther Fürth,22-357,0,0
Ignacio Pussetto,"FW,MF",Udinese,26-084,2,1
Niklas Pyyhtiä,MF,Bologna,18-171,0,0
Przemysław Płacheta,"FW,MF",Norwich City,23-357,0,0
Yacine Qasmi,MF,Rayo Vallecano,31-071,0,0
Fabio Quagliarella,FW,Sampdoria,39-043,3,2
Quini,DF,Granada,32-172,0,0
Dani Raba,"MF,FW",Villarreal,26-137,0,0
Adrien Rabiot,MF,Juventus,26-346,0,2
Uroš Račić,MF,Valencia,23-363,0,0
Nemanja Radoja,MF,Levante,29-037,0,0
Nemanja Radonjić,MF,Marseille,26-028,0,0
Ivan Radovanović,MF,Salernitana,33-198,0,0
Ștefan Radu,DF,Lazio,35-144,0,0
Boris Radunović,GK,Cagliari,25-293,0,0
Sidney Raebiger,MF,RB Leipzig,16-332,0,0
Rafinha,"FW,MF",Paris S-G,29-031,1,0
Antonio Raillo,DF,Mallorca,30-158,0,0
Predrag Rajković,GK,Reims,26-135,0,0
Jesuran Rak Sakyi,MF,Crystal Palace,19-161,0,0
Ivan Rakitić,MF,Sevilla,34-005,3,3
Diant Ramaj,GK,Eint Frankfurt,20-177,0,0
Jonás Ramalho,DF,Osasuna,28-278,0,0
Adil Rami,DF,Troyes,36-078,3,0
Sandro Ramírez,FW,Getafe,26-249,3,0
Guilherme Ramos,DF,Arminia,24-216,0,0
Sergio Ramos,DF,Paris S-G,35-350,1,0
Aaron Ramsdale,GK,Arsenal,23-305,0,0
Aaron Ramsey,MF,Juventus,31-079,0,0
Jacob Ramsey,MF,Aston Villa,20-291,6,1
Luca Ranieri,DF,Salernitana,22-326,1,0
Andrea Ranocchia,DF,Inter,34-027,0,0
Tobias Raschl,MF,Greuther Fürth,22-022,0,0
Elba Rashani,"FW,MF",Clermont Foot,28-310,6,3
Marcus Rashford,"FW,MF",Manchester Utd,24-135,4,2
Milot Rashica,"FW,MF",Norwich City,25-260,1,2
Giacomo Raspadori,"MF,FW",Sassuolo,22-025,9,3
David Raum,DF,Hoffenheim,23-327,2,8
David Raya,GK,Brentford,26-181,0,0
Ante Rebić,FW,Milan,28-175,2,2
Arkadiusz Reca,DF,Spezia,26-271,0,2
Lluís Recasens,DF,Espanyol,20-105,0,0
Nathan Redmond,"MF,FW",Southampton,28-009,0,5
Sergio Reguilón,DF,Tottenham,25-089,2,3
Manolo Reina,GK,Mallorca,36-348,0,0
Pepe Reina,GK,Lazio,39-196,0,1
Jeff Reine-Adélaïde,MF,Lyon,24-057,0,0
Reinier,"MF,FW",Dortmund,20-055,0,0
Karim Rekik,DF,Sevilla,27-103,0,2
Álex Remiro,GK,Real Sociedad,26-356,0,0
Panagiotis Retsos,"DF,MF",Hellas Verona,23-218,0,0
Marco Reus,"MF,FW",Dortmund,32-288,9,8
Elvis Rexhbeçaj,MF,Bochum,24-134,0,0
Gio Reyna,MF,Dortmund,19-122,2,0
Bryan Reynolds,DF,Roma,20-260,0,0
