1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Daniel Parejo,es ESP,MF,Villarreal,32-333,1989,24,23,2017,22.4,2,6,1,1,1,2,0,0.09,0.27,0.36,0.04,0.31,1.6,0.8,5.2,6.0,0.07,0.23,0.30,0.04,0.27,Matches
Raúl Parra,es ESP,DF,Cádiz,22-109,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Javier Pastore,ar ARG,"MF,FW",Elche,32-268,1989,10,5,419,4.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.07,0.11,0.17,0.07,0.17,Matches
Gabriel Paulista,br BRA,DF,Valencia,31-109,1990,14,14,1195,13.3,2,1,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,0.9,0.9,0.1,1.0,0.06,0.01,0.07,0.06,0.07,Matches
Alfonso Pedraza,es ESP,DF,Villarreal,25-340,1996,19,12,1092,12.1,0,3,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.8,0.8,2.2,3.0,0.06,0.18,0.24,0.06,0.24,Matches
Pedri,es ESP,MF,Barcelona,19-110,2002,9,8,675,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,0.8,0.8,1.0,1.8,0.11,0.14,0.24,0.11,0.24,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Pedrosa,es ESP,DF,Espanyol,23-306,1998,26,26,2274,25.3,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,1.7,2.7,0.04,0.07,0.11,0.04,0.11,Matches
Facundo Pellistri,uy URU,"MF,FW",Alavés,20-085,2001,18,6,603,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.0,0.10,0.05,0.15,0.10,0.15,Matches
Rubén Peña,es ESP,"MF,FW",Villarreal,30-240,1991,6,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.18,0.77,0.94,0.18,0.94,Matches
Alberto Perea,es ESP,MF,Cádiz,31-086,1990,17,8,776,8.6,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.9,0.9,0.6,1.5,0.10,0.07,0.18,0.10,0.18,Matches
Victor Perea,es ESP,DF,Espanyol,21-348,2000,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Iñigo Pérez,es ESP,MF,Osasuna,34-056,1988,6,2,181,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
Juan Pérez,es ESP,GK,Osasuna,25-243,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kike Pérez,es ESP,MF,Elche,25-029,1997,3,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,1.0,0.00,1.64,1.64,0.00,1.64,Matches
Lucas Pérez,es ESP,FW,Elche,33-186,1988,18,16,1266,14.1,2,1,2,0,0,0,0,0.14,0.07,0.21,0.14,0.21,2.5,2.5,1.3,3.8,0.18,0.09,0.27,0.18,0.27,Matches
